,text,Unnamed: 0
868,A fast computer with a responsive touchscreen is what I need.,714.0
869,I would use the new computer with my wife so I want it to look sleek and have a good speaker.,152.0
870,I want to have a new laptop that is lightweight with a great battery.,889.0
871,I am trying to upgrade from an old computer that I need the new one to be thinner and lighter and more economical.,903.0
872,I plan to have a great bargain on a new computer.,849.0
873,My old computer is too heavy and doesn't last long so I need a new one.,892.0
874,I want to purchase a computer that is portable and lightweight.,1016.0
875,"I am changing my old computer and I want the new to be quick, responsive and economical.",10.0
876,I need a eye-catching display and a satisfying backlit keyboard for the computer.,269.0
877,I am changing my old computer to a more classy-looking one.,96.0
878,A computer with a high performance-cost ratio is what I need.,210.0
879,I need a new computer for work so everything should be fast including the bootup.,1060.0
880,"For an everyday use computer, I need it to have good colour with great price.",752.0
881,I am finding myself a great computer that is solid and priced greatly.,569.0
882,"I am buying a new laptop for my husband and he wants it to be lightweight, clear and sharp.",1034.0
883,I would like to have great colour on my computer.,813.0
884,I recently need a new computer that comes with high speed and minimal bloatware.,775.0
885,I need a computer that is easy to setup and come with a high quality monitor.,871.0
886,I need a good video card to go with my computer.,548.0
887,I lost my old taplet so I am finding for a new one that show awesome graphics.,1036.0
888,I need a computer with high performance-cost ratio.,532.0
889,My gaming niece wants some right specs for his computer.,43.0
890,I want a replacement for my old computer and I need a new one that comes with amazing build quality.,332.0
891,I wish I would be happy with the money I spent for a perfect computer.,75.0
892,I need a work horse that is light and quiet and easy to use.,712.0
893,I am buying a computer as Christmas present for my son and he specifies that it has to be great for games.,77.0
894,I need a fast computer.,263.0
895,I am finding a new computer that have good specs but low price.,1066.0
896,I want to spend as less as possible on my new laptop.,149.0
897,"As a college student, I am finding an affordable laptop which has a solid construction.",987.0
898,"I am in need of a new computer that is slim, portable and affordable.",588.0
899,I want a computer with long battery life.,514.0
900,I need a vivid development platform that is lightweight and has a nice backlit keyboard.,454.0
901,The only thing I require on my computer is great specs with decent price.,469.0
902,The screen should be gorgeous and responsive on my computer.,564.0
903,My computer just recently broke down so I need a new computer immediately.,774.0
904,I need a quiet computer with high performance-cost ratio.,461.0
905,The computer should be light.,253.0
906,I need a strong upgrade from my old computer that is faster and has better screen.,896.0
907,I am currently running out of savings but I want a nice computer with a nice price.,771.0
908,I am buying a new computer for my wife and so the computer should play games with no problems.,845.0
909,Specs are important aspect that I look into when purchasing a new computer.,369.0
910,I need a recommendation of a handy and light computer for my sister.,321.0
911,I am finding a new computer with amazing boosted frequency and useful amount of RAM.,695.0
912,I need a computer with a reasonable price.,151.0
913,"I need something to bring to work and I hope it would be thin, light and sturdy.",1041.0
914,I am looking for recommendation on a fast computer with fantastic price.,928.0
915,I did a lot of research on my new computer and my wish is to have a fast computer that play games well.,302.0
916,I want to have a new computer that comes with the highest performance-cost ratio.,190.0
917,"I will use the computer for general school work thus I need it to be lightweight, fast and portable.",586.0
918,My wife needs a new computer and I am planning to gift her one that have nicely arranged keyboard and low cost.,348.0
919,I want a fast and light computer.,243.0
920,My old computer is not working anymore and I am finding a new computer with a nice price.,967.0
921,"It would be pleasant to have been able to use the computer as soon as possible, so it should be easy to set up.",793.0
922,I am going through a replacement of my old computer and I want the new one to come with good specs and great display colour.,87.0
923,My old computer doesn't work for me anymore and I need a fast one with lots of space.,751.0
924,The hard drive of my old computer died so I need a new one with large storage and reasonable price.,655.0
925,I am new to gaming laptop and I want some really good red back-lit keys because that looks cool.,279.0
926,I need a fast computer.,778.0
927,I need the computer to come with Microsoft programmes.,418.0
928,I need some recommendations for an awesome gaming laptop.,288.0
929,The computer I am buying must be fast.,648.0
930,Photo editing is my job so I would need a computer that have good screen resolution.,166.0
931,I need a computer that comes with low price and high specs.,595.0
932,I need a computer with a good hardware.,313.0
933,I don't enjoy waiting so I need the computer to startup fast.,933.0
934,I need a new gaming laptop with some good build quality.,155.0
935,I am becoming a coder and I need a new computer that is sleek and has large storage space.,999.0
936,I am looking for a quiet computer with a good price.,25.0
937,My old computer is not working and I need a fast and well built one.,196.0
938,I am finding a all-rounded computer that is sturdy and has great design.,15.0
939,The computer I will be using should be light and have thin edges.,883.0
940,Specs ought to be good on my computer.,621.0
941,I need a plain notebook without those flashy light but still keep a beautiful design.,497.0
942,I have got a lot of documents from my work so I need a new computer that can store all those files with a reasonable price.,792.0
943,My old computer is starting to be unreliable so I need a new one that has lots of space yet running fast.,964.0
944,The computer I will be using should have a high performance-cost ratio.,515.0
945,"The computer should have great build quality and specs, but also with a good price.",542.0
946,I am finding myself a fast computer.,456.0
947,I am buying a laptop for my brother who just entered into college and the amount of storage ought to be more than enough.,633.0
948,I need a solid hard drive to run everything smoothly.,431.0
949,I am changing my old computer and I want the new one to be easy to upgrade with a high performance-cost ratio.,627.0
950,"My old computer needs replacement and the new one should come with a big screen, sleek design and wonderful keyboard lighting.",728.0
951,I plan to do some laptop gaming so it should play games well and fast.,209.0
952,My wife says she needs a computer that is easy to use and works well with Wifi.,316.0
953,"I need the computer to do well in gaming and editing, of course with a good price also.",513.0
954,I do basic browsing and I am finding a cheap computer which comes up with the performance.,829.0
955,I need a state-of-the-art laptop that comes with a low price.,319.0
956,I need a computer to do typical home computer work and it should be light and has a bright screen.,1031.0
957,A computer that runs games well with a low cost is what I needed.,141.0
958,I need a new computer that is easy to setup with a high performance-cost ratio.,753.0
959,I need some recommendations on a fast computer.,1001.0
960,My old computer does not work as great as it was so I am finding a new one with a beautiful screen and good build quality.,580.0
961,I pay many effort into investigating computers and now I want a sturdy and portable one.,562.0
962,I want a light computer.,398.0
963,I need a handy computer.,668.0
964,The computer should have a light but large enough screen accomplished with speed.,252.0
965,I read a lot of reviews and I decided I would buy a computer that is fast with a budget price.,907.0
966,I do spreadsheets all day and I want to find myself a computer with a high performance-cost ratio.,468.0
967,I need a light computer with a good screen.,914.0
968,I hope the money I spent would be exchanged for a good computer.,357.0
969,I want a computer that is able to run games at a high-ultra setting without getting too hot.,508.0
970,I am looking for a Mother's Day present that is easy to setup.,749.0
971,I produce music so I hope the new computer works great for the software with a reasonable price.,129.0
972,I expect my new computer will be fast and reasonably priced.,144.0
973,"As long as the price is reasonable, I would be happy to pay for a powerful computer.",960.0
974,My old laptop is not working and I am finding a new one that has good amount of RAM and storage.,847.0
975,I want an economical and fast computer.,715.0
976,I am finding something new to replace my old computer that has a higher portability and better display.,905.0
977,"The computer should boot up and connect to the Wifi in a super fast way, but I don't want the price to be too high and the diplay should be great also.",235.0
978,A lightweight computer is what I need.,1061.0
